# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 17.7337
# raceline_length_m: 65.8817
# generated: 2026-08-20 11:51:54
# s_m;x_m;y_m;trac_dir;kappa_radpm;vx_mps;dist_left_m;dist_right_m
0.000000;-6.163042;-3.389873;-0.004193;0.265226;3.549452;0.604841;0.369167
0.299462;-5.863719;-3.381936;0.048131;0.083538;3.855397;0.612818;0.331382
0.598925;-5.564655;-3.366519;0.045751;-0.099436;4.171513;0.614429;0.293522
0.898387;-5.265408;-3.355180;0.037577;0.048709;4.449141;0.586557;0.291321
1.197850;-4.966376;-3.339480;0.074913;0.200445;4.200549;0.555270;0.294455
1.497312;-4.668815;-3.306438;0.151828;0.312787;3.876560;0.540289;0.330939
1.796775;-4.375727;-3.245733;0.262134;0.422467;3.598266;0.507834;0.404763
2.096237;-4.092750;-3.148516;0.405664;0.541729;3.241503;0.449359;0.546963
2.395699;-3.829430;-3.006778;0.589104;0.684667;2.866071;0.353833;0.696041
2.695162;-3.598828;-2.816493;0.787710;0.635140;2.981947;0.291427;0.836757
2.994624;-3.408515;-2.585829;0.972823;0.607587;3.052350;0.302743;0.848652
3.294087;-3.262687;-2.324705;1.147400;0.556116;3.197375;0.354313;0.708960
3.593549;-3.162248;-2.042924;1.307364;0.515675;3.325998;0.433756;0.604800
3.893012;-3.105359;-1.749157;1.445395;0.397187;3.518783;0.477668;0.519578
4.192474;-3.083756;-1.450598;1.545552;0.273456;3.751360;0.507238;0.507887
4.491937;-3.087385;-1.151222;1.617496;0.212742;4.019981;0.516065;0.534517
4.791399;-3.110062;-0.852658;1.672964;0.157725;4.277684;0.497529;0.558775
5.090861;-3.146620;-0.555453;1.709753;0.085945;4.525599;0.462840;0.597378
5.390324;-3.190817;-0.259272;1.724409;0.011967;4.768435;0.419118;0.643393
5.689786;-3.236078;0.036749;1.716949;-0.061767;4.689996;0.372898;0.688417
5.989249;-3.275856;0.333546;1.687441;-0.135166;4.266186;0.331396;0.725788
6.288711;-3.302997;0.631734;1.629037;-0.263060;3.889987;0.302515;0.749268
6.588174;-3.306575;0.931052;1.529607;-0.400054;3.586356;0.295441;0.748966
6.887636;-3.274329;1.228527;1.388719;-0.546070;3.228010;0.327993;0.725170
7.187098;-3.194014;1.516563;1.200949;-0.706428;2.818981;0.402778;0.676166
7.486561;-3.055327;1.781217;0.967480;-0.865811;2.529065;0.546589;0.595866
7.786023;-2.853278;2.000807;0.675389;-1.083840;2.239138;0.693235;0.459621
8.085486;-2.593137;2.146411;0.344452;-1.130135;2.188346;0.814520;0.307948
8.384948;-2.299409;2.195131;-0.029866;-1.409080;1.935617;0.783540;0.303278
8.684411;-2.010629;2.124184;-0.437593;-1.200730;2.116440;0.742539;0.410217
8.983873;-1.765557;1.954387;-0.766409;-1.045558;2.283580;0.787018;0.592503
9.283336;-1.584630;1.717147;-1.062753;-0.878290;2.509687;0.543393;0.671454
9.582798;-1.471288;1.440645;-1.288934;-0.642437;2.867657;0.407917;0.722581
9.882260;-1.413486;1.147165;-1.455396;-0.471414;3.130737;0.320960;0.749835
10.181723;-1.397469;0.848295;-1.570439;-0.297935;3.409969;0.291801;0.755141
10.481185;-1.408747;0.549108;4.641412;-0.194845;3.724724;0.306553;0.741403
10.780648;-1.437464;0.251052;4.595363;-0.112681;4.032979;0.344559;0.711606
11.080110;-1.476219;-0.045886;4.574003;-0.029708;4.324000;0.399899;0.689312
11.379573;-1.517613;-0.342474;4.577591;0.053681;4.592842;0.445754;0.662991
11.679035;-1.554433;-0.639655;4.603352;0.111063;4.822473;0.477534;0.628537
11.978497;-1.581363;-0.937884;4.643655;0.157979;4.464650;0.512067;0.601112
12.277960;-1.593814;-1.237045;4.702910;0.252061;4.123438;0.545815;0.567488
12.577422;-1.583615;-1.536226;-1.487327;0.368822;3.866969;0.556521;0.568473
12.876885;-1.540850;-1.832428;-1.364119;0.442077;3.603219;0.532710;0.627874
13.176347;-1.459328;-2.120322;-1.222436;0.505029;3.362365;0.478155;0.723227
13.475810;-1.335457;-2.392617;-1.062526;0.562894;3.177163;0.394950;0.886912
13.775272;-1.167520;-2.640074;-0.882532;0.643194;2.962214;0.299000;0.871064
14.074735;-0.955878;-2.851264;-0.688255;0.614342;3.034660;0.315273;0.877448
14.374197;-0.709056;-3.020191;-0.515674;0.543335;3.236493;0.395264;0.701280
14.673659;-0.438012;-3.146827;-0.361731;0.479184;3.437332;0.491668;0.526291
14.973122;-0.151574;-3.233433;-0.229049;0.408257;3.625462;0.562548;0.414529
15.272584;0.143346;-3.284500;-0.117998;0.326821;3.823273;0.603698;0.352954
15.572047;0.441909;-3.306535;-0.033916;0.235264;4.044248;0.621893;0.328654
15.871509;0.741329;-3.307457;0.023454;0.148596;4.286851;0.622628;0.327633
16.170972;1.040522;-3.295066;0.055012;0.062141;4.537083;0.610990;0.340449
16.470434;1.339460;-3.277347;0.056724;-0.067912;4.782339;0.593301;0.358229
16.769896;1.638675;-3.265787;0.012537;-0.227502;4.926863;0.580833;0.369242
17.069359;1.937982;-3.273164;-0.055019;-0.112594;5.051631;0.589056;0.362384
17.368821;2.236957;-3.290196;-0.043816;0.187770;5.196865;0.605778;0.345135
17.668284;2.536330;-3.291691;0.035049;0.230002;5.039182;0.607018;0.343186
17.967746;2.835184;-3.273061;0.082270;0.085838;5.104943;0.589808;0.361746
18.267209;3.133500;-3.246885;0.084037;-0.087389;4.700642;0.562925;0.402715
18.566671;3.432366;-3.228621;0.028050;-0.287379;4.497597;0.537635;0.454240
18.866133;3.731650;-3.234723;-0.063240;-0.191309;4.625359;0.542739;0.465110
19.165596;4.030256;-3.257330;-0.071625;0.134889;4.816233;0.570792;0.403980
19.465058;4.329424;-3.269100;-0.005485;0.177353;4.993993;0.584074;0.361173
19.764521;4.628859;-3.265704;0.018450;-0.017217;4.788930;0.580788;0.367467
20.063983;4.928303;-3.263627;-0.011629;-0.160137;4.400457;0.578667;0.371398
20.363446;5.227469;-3.275779;-0.074580;-0.260577;4.055305;0.592426;0.360222
20.662908;5.524896;-3.310020;-0.144478;-0.061763;3.622813;0.631527;0.328379
20.962371;5.821796;-3.348808;-0.091468;0.416207;3.227872;0.666413;0.287162
21.261833;6.120825;-3.351213;0.089816;0.709210;2.813115;0.669236;0.283304
21.561295;6.413398;-3.290687;0.326938;0.883165;2.502226;0.642139;0.356647
21.860758;6.679779;-3.156144;0.614354;1.005001;2.333322;0.581978;0.514917
22.160220;6.893442;-2.948172;0.938560;1.184730;2.132191;0.457214;0.861128
22.459683;7.021436;-2.679453;1.318057;1.256442;2.063879;0.280600;0.848294
22.759145;7.040698;-2.382379;1.698264;1.339842;1.991186;0.458636;0.961544
23.058608;6.941019;-2.102571;2.136741;1.446781;1.906982;0.578700;0.657011
23.358070;6.734727;-1.888024;2.523516;1.192257;2.124743;0.623706;0.519442
23.657532;6.465015;-1.761710;2.888703;1.215488;2.102178;0.640693;0.329782
23.956995;6.168064;-1.730239;3.146279;0.488190;2.146968;0.650478;0.295332
24.256457;5.868901;-1.743084;3.189222;-0.137339;2.146968;0.639967;0.306864
24.555920;5.569630;-1.753687;3.173343;0.033653;2.764221;0.623428;0.309782
24.855382;5.270499;-1.767340;3.209738;0.197626;3.230724;0.599215;0.310868
25.154845;4.972491;-1.796406;3.267435;0.188338;3.612735;0.569553;0.344478
